Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",33786,1707925,1879
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",20883,77476,1898
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",28125,50863,1968
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",30650,732712,1983 (1877)
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts",45384,1996810,2024
AXP,American Express,Financials,Consumer Finance,"New York City, New York",27941,4962,1850
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",30650,732717,1983 (1885)
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",33605,318154,1980
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",20883,1800,1888
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",27941,753308,1984 (1925)
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",39706,1108524,1999
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",38202,97745,2006 (1902)
C,Citigroup,Financials,Diversified Banks,"New York City, New York",32294,831001,1998
BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",20883,12927,1916
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,"Burbank, California",27941,1744489,1923
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",38169,882095,1987
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",31320,109198,1987
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",35703,319201,1975/1977 (1997)
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",36962,97476,1930
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",39601,1035267,1995
APP,AppLovin,Information Technology,Application Software,"Palo Alto, California",45922,1751008,2012
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",43340,1596532,2004
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",35583,316709,1971
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",39721,820313,1932
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",20883,315189,1837
UBER,Uber,Industrials,Passenger Ground Transportation,"San Francisco, California",45278,1543151,2009
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",20883,936468,1995
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",36445,6281,1965
PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",20883,78003,1849
UNP,Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",20883,100885,1862
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",20883,773840,1906
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",40637,2012383,1988
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",36363,804328,1985
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",40123,1075531,1996
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",20883,1163165,2002
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",39843,766704,1970
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",30741,60667,1904/1946/1959
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",36872,310764,1941
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C.",36117,313616,1969
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",20883,64040,1917
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",20883,1551182,1911
PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",45097,1327567,2005
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",36865,896878,1983
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",40730,1467373,1989
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",43790,1373715,2003
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",40374,896159,1985
NEM,Newmont,Materials,Gold,"Denver, Colorado",25384,1164727,1921
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",37819,1045609,1983
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",35646,80661,1937
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",20883,14272,1989 (1887)
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",42031,860730,1968
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",35977,927628,1994
MDT,Medtronic,Health Care,Health Care Equipment,"Galway, Ireland",31716,1613103,1949
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",31381,76334,1917
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",35555,796343,1982
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",41540,875320,1989
CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",44594,1868275,1999
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",37579,1166691,1963
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",38940,1156375,1848
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",36684,829224,1971
MCK,McKesson Corporation,Health Care,Health Care Distributors,"Irving, Texas",36173,927653,1833
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",20883,764180,1985
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",20883,92122,1945
CRWD,CrowdStrike,Information Technology,Systems Software,"Austin, Texas",45467,1535527,2011
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia[3]",20883,1133421,"1994 (Northrop 1939, Grumman 1930)"
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",34754,885725,1979
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",34757,24741,1851
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",27941,1326160,1904
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",42664,4281,1888
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",36038,823768,1968
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",20883,64803,1996
GD,General Dynamics,Industrials,Aerospace & Defense,"Reston, Virginia",20883,40533,1899
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",45558,1571996,2016
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",39351,1571949,2000
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",40499,1466258,1871
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",42083,1101239,1998
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",29676,8670,1949
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",27484,107263,1908
MRSH,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",32020,62709,1905
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",39405,1053507,1995
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",37459,1090727,1907
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",35944,1048286,1927
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",40725,831259,1912
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",29586,1048911,1971
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",32477,320187,1964
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",42810,883241,1986
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",35977,1059556,1909
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",39995,106040,1970
PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",32263,713676,1845
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",42996,813672,1988
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",23558,89800,1866
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,"New York City, New York",45467,1404912,1976
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",36951,723254,1929
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",36465,36104,1968
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",40417,833444,1885
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",39995,1050915,1997
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",20883,66740,1902
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",41395,872589,1988
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",31471,49826,1912
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",45187,1559720,2008
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",32539,31462,1923
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",39899,898173,1957
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",34789,1390777,1784
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",41092,1137789,1979
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,"San Francisco, California",45740,1792789,2012
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals","Milpitas, California",45989,2023554,1988
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",23832,32604,1890
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",20883,68505,1928 (2011)
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",41978,884887,1997
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",20883,21665,1806
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",41184,1103982,2012
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",41054,1506307,1997
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",23832,26172,1919
CSX,CSX Corporation,Industrials,Rail Transportation,"Jacksonville, Florida",20883,277948,1980
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",41088,865752,2012 (1935)
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",42524,1260221,1993
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",35178,315293,1982 (1919)
CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",27941,1739940,1982
RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",39787,1060391,1998 (1981)
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",20883,4904,1906
CRH,CRH plc,Materials,Construction Materials,"Dublin, Ireland",46013,849395,1970
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",36832,821189,1999
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",20883,87347,1926
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",37133,1140859,1985
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,"Menlo Park, California",45922,1783879,2013
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",44662,1437107,2022 (Warner Bros. 1923)
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",40168,745732,1982
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",42905,1585689,1919
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",39713,202058,"2019 (L3 1997, Harris 1895)"
NSC,Norfolk Southern,Industrials,Rail Transportation,"Atlanta, Georgia",20883,702165,1881/1894 (1980)
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",41431,1467858,1908
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",37610,1035002,1980
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",41030,1534701,2012 (1917)
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",37489,86312,1853
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",40725,1510295,2009 (1887)
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",37462,1156039,2014 (1946)
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",29586,75362,1905
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",37433,1063761,2003
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",45649,1858681,1990
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",43384,1262039,2000
O,Realty Income,Real Estate,Retail REITs,"San Diego, California",42101,726728,1969
APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",31167,2969,1940
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",42508,1297996,2004
SRE,Sempra,Utilities,Multi-Utilities,"San Diego, California",42811,1032208,1998
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Galway, Ireland",40833,1385157,2007
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",35432,866787,1979
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",42923,1701605,2017
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",42521,354190,1927
TFC,Truist Financial,Financials,Diversified Banks,"Charlotte, North Carolina",35768,92230,1872
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",36308,4977,1955
D,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",42704,715957,1983
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",34850,60086,1959
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",34893,899051,1931
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",32843,769397,1982
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",40252,1039684,1906
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",28125,27419,1902
PSA,Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",38583,1393311,1972
VST,Vistra Corp.,Utilities,Electric Utilities,"Irving, Texas",45420,1692819,2016
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",20883,797468,1920
FAST,Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota",39706,815556,1967
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",29767,277135,1927
COIN,Coinbase,Financials,Financial Exchanges & Data,"New York City, New York",45796,1679788,2012
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",43619,1755672,2019
XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",20883,72903,1909
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",41446,1555280,1952
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",35577,721371,1971
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",41902,1067701,1997
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",44846,1389170,2005
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",44277,1413447,1953
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",43437,1539838,2007
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",41540,1037868,1930
EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",20883,1109357,2000
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",39743,1120193,1971
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",44239,1280452,1997
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",37459,712515,1982
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",43924,1783180,"2020 (1915, United Technologies spinoff)"
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",20883,37996,1903
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",42740,874716,1983
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",26572,10795,1897
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",20883,65984,1913
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",40634,1099800,1958
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",41255,1121788,1989
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",36871,1099219,1868
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",43410,1601046,2014 (1939)
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",45050,1069183,1993
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",40661,1058090,1993
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",20883,47111,1894
CVNA,Carvana,Consumer Discretionary,Automotive Retail,"Tempe, Arizona",46013,1690820,2012
FIX,Comfort Systems USA,Industrials,Construction & Engineering,"Houston, Texas",46013,1035983,1997
DDOG,Datadog,Information Technology,Application Software,"New York City, New York",45847,1561550,2010
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",35709,1041061,1997
PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",42205,1633917,1998
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",44095,97210,1960
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",38525,882184,1978
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",35153,35527,1858
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",38628,820027,1894
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",29311,5272,1919
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,"New York City, New York",43194,1408198,1969
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",43523,943452,1999 (1869)
CIEN,Ciena,Information Technology,Communications Equipment,"Hanover, Maryland",46062,936395,1992
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",20883,788784,1903
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",36597,1024478,1903
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,"San Jose, California",37459,1065088,1995
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",31777,96021,1969
ED,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",20883,1047862,1823
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",43808,878927,1934
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",39031,1138118,1906
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",39876,740260,1998
PCG,PG&E Corporation,Utilities,Multi-Utilities,"Oakland, California",44837,1004980,1905
WDAY,"Workday, Inc.",Information Technology,Application Software,"Pleasanton, California",45649,1327811,2005
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",40982,1051470,1994
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",43178,946581,1993
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",44837,33213,1888
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",41528,27904,1929
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",31167,73309,1940
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",20883,874766,1810
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",44733,1418135,1981
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",40170,882835,1981
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",39752,783325,1896
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",42942,943819,1989
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",41822,916076,1993
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",43822,1335258,2010
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",43283,900075,1982
PAYX,Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York",36069,723531,1971
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,"Dallas, Texas",45622,1811074,1888
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",43741,1300514,1988
VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",36341,1396009,1909
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",36151,815097,1972
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",45163,1944048,2022 (Johnson & Johnson spinoff)
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",39332,827054,1989
FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",45005,814547,1956
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",20883,55785,1872
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",43924,1781335,"2020 (1853, United Technologies spinoff)"
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",44866,947484,1995
GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",44930,1932393,1994
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",43893,1699150,1859
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",37459,1137774,1875
FISV,Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",36983,798354,1984
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",37694,93751,1792
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",38722,1001250,1946
