Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",37459,1126328,1879
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",43623,1748790,2019 (1860)
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",45217,1397187,1998
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",36336,1002047,1992
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",42942,75677,1959
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",43675,1113169,1937
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",39365,746515,1979
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",43734,906163,1980
PTC,PTC Inc.,Information Technology,Application Software,"Boston, Massachusetts",44306,857005,1985
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",30224,91440,1920
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",43256,1711269,1909
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",42552,915913,1994
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",42794,879169,1991
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",27850,51253,1958 (1889)
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",45369,1375365,1993
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",43619,1666700,2017 (1802)
