Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",32142,8818,1935
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",43963,1286681,1960
GEN,Gen Digital,Information Technology,Systems Software,"Tempe, Arizona",37705,849399,1982
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",35915,38777,1947
ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",45558,922621,1925
EG,Everest Group,Financials,Reinsurance,"Hamilton, Bermuda",42905,1095073,1973
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",39876,48465,1891
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",30955,46080,1923
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,"Los Angeles, California",34607,2041610,2025 (Paramount Pictures 1912)
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",39161,1070750,1993
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",29767,62996,1929
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",41610,1579241,1908
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona",45467,1609711,1997
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",42905,1097149,1997
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",43417,779152,1976
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona",36437,764622,1985
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado",42436,74208,1972
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,"New York City, New York",43543,1754301,2019
SOLV,Solventum,Health Care,Health Care Technology,"Saint Paul, Minnesota",45383,1964738,2023
DOC,Healthpeak Properties,Real Estate,Health Care REITs,"Denver, Colorado",39538,765880,1985
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",43543,1754301,2019
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",44277,1474735,1959
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",42830,749251,1979
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",39758,91419,1897
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",30224,93556,1843
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",41902,352915,1979
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",30255,14693,1870
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",35639,1841666,1954
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",32628,320335,1900
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",39182,1267238,1892
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",44655,906345,1981
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",43822,877212,1969
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",39766,1174922,2002
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",39681,914208,1935
BLDR,Builders FirstSource,Industrials,Building Products,"Irving, Texas",45278,1316835,1998
RVTY,Revvity,Health Care,Health Care Equipment,"Waltham, Massachusetts",31198,31791,1937
DVA,DaVita,Health Care,Health Care Services,"Denver, Colorado",39660,927066,1979
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",36070,874761,1981
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",42942,91142,1916
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",42401,34903,1962
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami-Dade County, Florida[4]",43021,1513761,2011 (1966)
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",26572,10456,1931
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",42942,789570,1986
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",30559,23217,1919
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",41487,1564708,2013 (News Corporation 1980)
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",42080,1000228,1932
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",42814,1035443,1994
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",27941,24545,"2005 (Molson 1786, Coors 1873)"
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",44330,1100682,1947
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",44438,842023,1976
BXP,"BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts",38810,1037540,1970
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",44550,1013237,1978
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",40812,1285785,2004 (1865 / 1909)
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",42075,4127,2002
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",44111,945841,1993
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",44544,1352010,1993
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",20883,16732,1869
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",44622,1179929,1980
PAYC,Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma",43858,1590955,1998
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",44459,891103,1986
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",43437,1679273,2016 (1950)
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",42265,1564708,2013 (News Corporation 1980)
