Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",26572,10795,1897
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",20883,65984,1913
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",40634,1099800,1958
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",41255,1121788,1989
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",36871,1099219,1868
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",43410,1601046,2014 (1939)
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",45050,1069183,1993
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",40661,1058090,1993
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",20883,47111,1894
CVNA,Carvana,Consumer Discretionary,Automotive Retail,"Tempe, Arizona",46013,1690820,2012
FIX,Comfort Systems USA,Industrials,Construction & Engineering,"Houston, Texas",46013,1035983,1997
DDOG,Datadog,Information Technology,Application Software,"New York City, New York",45847,1561550,2010
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",35709,1041061,1997
PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",42205,1633917,1998
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",44095,97210,1960
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",38525,882184,1978
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",35153,35527,1858
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",38628,820027,1894
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",29311,5272,1919
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,"New York City, New York",43194,1408198,1969
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",43523,943452,1999 (1869)
CIEN,Ciena,Information Technology,Communications Equipment,"Hanover, Maryland",46062,936395,1992
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",20883,788784,1903
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",36597,1024478,1903
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,"San Jose, California",37459,1065088,1995
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",31777,96021,1969
ED,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",20883,1047862,1823
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",43808,878927,1934
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",39031,1138118,1906
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",39876,740260,1998
PCG,PG&E Corporation,Utilities,Multi-Utilities,"Oakland, California",44837,1004980,1905
WDAY,"Workday, Inc.",Information Technology,Application Software,"Pleasanton, California",45649,1327811,2005
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",40982,1051470,1994
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",43178,946581,1993
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",44837,33213,1888
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",41528,27904,1929
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",31167,73309,1940
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",20883,874766,1810
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",44733,1418135,1981
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",40170,882835,1981
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",39752,783325,1896
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",42942,943819,1989
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",41822,916076,1993
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",43822,1335258,2010
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",43283,900075,1982
PAYX,Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York",36069,723531,1971
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,"Dallas, Texas",45622,1811074,1888
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",43741,1300514,1988
VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",36341,1396009,1909
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",36151,815097,1972
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",45163,1944048,2022 (Johnson & Johnson spinoff)
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",39332,827054,1989
FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",45005,814547,1956
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",20883,55785,1872
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",43924,1781335,"2020 (1853, United Technologies spinoff)"
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",44866,947484,1995
GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",44930,1932393,1994
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",43893,1699150,1859
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",37459,1137774,1875
FISV,Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",36983,798354,1984
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",37694,93751,1792
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",38722,1001250,1946
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",40207,1013871,1992
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",35670,49196,1866
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",36682,1090872,1999
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",20883,7084,1902
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",41246,29534,1939
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",44720,1705696,2017
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",39038,1058290,1994
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",42795,1374310,1973
EME,Emcor,Industrials,Construction & Engineering,"Norwalk, Connecticut",45922,105634,1994
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",38040,36270,1856
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",20883,936340,1995
IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Portsmouth, New Hampshire",39819,1020569,1951
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",33500,1002910,1902
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",43511,731802,1906
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",39357,1324424,1996
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",44004,1094285,1960
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",42814,720005,1962
